geoid,lon,lat
28107,-89.9505673215719,34.3639350997378
02013,-161.947935357638,55.2244363885248
02016,-92.4877175720025,52.6802139740695
51540,-78.4855727162598,38.03742406794
22065,-91.2425830562092,32.3644034060227
28101,-89.1188085186608,32.4002323424878
28027,-90.6026870936921,34.2291656027717
51510,-77.0861827987265,38.8183858429702
51600,-77.2997956877013,38.8531133453258
51530,-79.3565423628085,37.7315905018471
51610,-77.1745468392778,38.8843327397929
48113,-96.7778746258564,32.7666306427585
42037,-76.4051500769417,41.0486534666238
48227,-101.435505533974,32.3061695051304
48155,-99.7779848930352,33.9746150996598
48153,-101.303234517025,34.072424552231
34011,-75.1293422062503,39.328069233977
48043,-103.251755870377,29.8119497743633
48159,-95.2184193830027,33.1755486928497
48351,-93.7447410196909,30.7863091750679
48231,-96.0854546761513,33.1235953562671
50001,-73.1409412127512,44.0309092478868
48427,-98.738399609018,26.562153049562
48289,-95.9956906592162,31.2965068251651
48271,-100.41794669004,29.3502076132988
50021,-73.0366090115274,43.5800915848709
48087,-100.270065997172,34.9648838950164
50025,-72.7138440545671,42.9905938033273
48451,-100.462063537838,31.4043978054096
50027,-72.5862391217497,43.5800029754366
48083,-99.4536376482905,31.7732068686586
48039,-95.4342575630889,29.167825287708
48131,-98.5089060082236,27.6813321105555
37051,-78.8274381617167,35.0485920211319
48279,-102.351710486675,34.0686230904982
37023,-81.7047017384699,35.7495216366414
48343,-94.7326503315872,33.1134825368528
48111,-102.602222593165,36.2778909969037
48423,-95.2691825906231,32.375035390562
48489,-97.5918210806658,26.4770120839012
48239,-96.5776809170744,28.954244257858
48277,-95.5712007117767,33.6672620531275
48325,-99.1101310437765,29.3556960282522
37079,-77.6758701109368,35.4854112805055
48483,-100.269647544304,35.4012788082352
50023,-72.6148960615062,44.2734221499157
48059,-99.3734880882432,32.2976557003062
29510,-90.2451186800035,38.6358122586034
48099,-97.7992045440419,31.3909110798905
34017,-74.0759358847961,40.730944021473
48165,-102.635177109993,32.740725111662
51683,-77.4839011401098,38.7479625994744
48259,-98.71155519583,29.9446888508406
48347,-94.6158669258967,31.6159787993621
48331,-96.9768458123603,30.7863413293067
48209,-98.0310676480446,30.0581510774396
23019,-68.6494281284415,45.4005123272594
50009,-71.7360518369094,44.7277930591367
50011,-72.9119987139895,44.8574839902908
56001,-105.723910733062,41.6544687427262
56017,-108.442097152264,43.7189289947035
56015,-104.353264459474,42.0879392640528
56045,-104.567830050434,43.8404850635659
56039,-110.589741257213,43.9347562654884
56003,-107.995214685599,44.5268157507607
56027,-104.475376449748,43.0564977138638
56033,-106.879484552216,44.7900394833053
50005,-72.1021907354487,44.4647171679048
56043,-107.682861015166,43.9049973172708
56005,-105.548302803312,44.2483959514476
56025,-106.798493804153,42.9622404457146
51820,-78.9012510428003,38.0673169416365
56031,-104.96581550057,42.1330537239068
56009,-105.507062663193,42.9723307192377
56011,-104.569927994128,44.5885962896028
56019,-106.584632795783,44.0387746195583
56021,-104.689615596111,41.307065200295
56029,-109.588533939412,44.5205709900148
72089,-65.7121531555444,18.3686639442554
50013,-73.2948285313367,44.7968252681796
50015,-72.6414522266594,44.605759179195
72027,-66.8626349574994,18.4430765099434
44001,-71.286118550433,41.7055443833178
72043,-66.3601699157274,18.0973046456757
29099,-90.5376891159327,38.26107130792
29079,-93.5653340120522,40.1139317736432
29093,-90.7734903641097,37.5551488242396
29185,-93.7759738752845,38.0371776000513
29037,-94.3548235213214,38.6470045489958
29229,-92.4687042533709,37.2701400351826
29153,-92.4446635641486,36.6493218886315
17083,-90.3566834091248,39.0856617327767
29083,-93.792749768737,38.3851618483268
17171,-90.4746958288716,39.6441420116036
17009,-90.7503422748186,39.9618116188043
17033,-87.7595568776003,39.0026863692303
17085,-90.2124161423156,42.3657121100672
17041,-88.217355058501,39.7694639200149
17065,-88.5391056836499,38.0815736473955
17181,-89.255087854252,37.4712282422546
17109,-90.6779102213937,40.4562114443109
17135,-89.4788703253443,39.2310400720229
17115,-88.9615967669557,39.8599951926585
17129,-89.8021702217817,40.0273969103889
17201,-89.1608528475058,42.3362643644303
17133,-90.1773767143254,38.2786487116394
17131,-90.7414081536432,41.2053387151058
17047,-88.0532689376357,38.4165327907755
17035,-88.2402304511564,39.2733166359648
06005,-120.651115627361,38.4463895164229
17197,-87.9786592417654,41.4450343984705
06059,-117.776165676325,33.6769113950892
06103,-122.233884866298,40.1257361730307
06011,-122.237028473302,39.1775731411773
06083,-120.030783216709,34.5383408712522
06009,-120.554132186958,38.2046064016385
06051,-118.886709276454,37.9389903520629
06053,-121.308901559839,36.2397743981979
72053,-65.6065608141854,18.3622092506877
49003,-113.082087638553,41.5209656333278
06061,-120.717743033604,39.063419078596
37069,-78.2856139414324,36.0827888958739
06025,-115.365319730022,33.0395059947014
37031,-76.5324914180329,34.8640126075298
37057,-80.212685850681,35.7932772919157
42021,-78.7137032910238,40.4952940087996
37163,-78.3715183203123,34.9916303763228
37101,-78.3656403227611,35.5176104163396
37027,-81.5465488073686,35.9529670011416
72033,-66.1388407312722,18.4415674066333
42003,-79.9811943943052,40.4688338963311
37153,-79.7478344212849,35.0059435197452
37123,-79.9054702993049,35.3324596838695
37179,-80.5307289929721,34.9883653200347
42001,-77.2178877899673,39.871449346501
42061,-77.9812075962323,40.4169345092207
37097,-80.8735136098175,35.8070182672228
37063,-78.8763242973599,36.0359979927539
72037,-65.5592542207527,18.2683832514307
42039,-80.1062774778139,41.6846964747501
42045,-75.3988997143197,39.9168075566245
42035,-77.6381058341342,41.2340543619642
37143,-76.4076736722001,36.177201449946
72085,-65.8693173575869,18.1875265440942
37083,-77.651881583019,36.2575037523863
37037,-79.255348952702,35.7025799923498
72121,-66.9435789763204,18.082937290267
37171,-80.6874879811701,36.4146821711706
42073,-80.3341943619936,40.9912655743365
42093,-76.6585617152133,41.0279212568456
37155,-79.1035349809647,34.640086813481
37121,-82.1634659848766,36.0132909284603
72045,-66.2218192927668,18.2247426962365
42117,-77.2542642536604,41.7721615367101
42089,-75.3394763256348,41.0580678161219
42009,-78.4903171106796,40.0065552779198
37013,-76.8451608040143,35.4858331994479
42131,-76.0165514313059,41.5183294790589
37127,-77.9864831034901,35.9672153511503
42083,-78.5690251351051,41.8077476123804
42133,-76.7265112439441,39.9199624574595
42049,-80.0981063430659,42.1174762411053
37067,-80.2563648921953,36.1304850851451
42051,-79.6473693345291,39.919899648341
42099,-77.2622961001175,40.3984094449388
42085,-80.2577022525435,41.3021809760493
37107,-77.6412724393962,35.2391510966487
42033,-78.4741112056328,41.0001930810654
39049,-83.0093501358749,39.9695222407574
42059,-80.2228738440214,39.8537998261785
42053,-79.2360118452713,41.5130724384206
37119,-80.8327701375467,35.2467386454791
37089,-82.4799071271874,35.3362920399157
51185,-81.5606591737977,37.1249707471006
37081,-79.7890144681394,36.0794508189774
28053,-90.5266210230044,33.128697290226
42017,-75.106865370291,40.3369445625741
36053,-75.6696714151287,42.9127786755904
42011,-75.925997731989,40.4162954688892
02240,-143.207059759803,63.8769136532741
22089,-90.3581946824356,29.9133394322223
02070,-158.326227280111,59.7157660576794
22073,-92.1548701593336,32.478313154151
02164,-156.524635527733,58.3042183200472
02185,-153.506359975538,69.3657643239187
02105,-135.275603684946,58.119946583107
02130,-131.033822649155,55.4922488207708
02150,-153.750408096433,57.6538953698871
22007,-91.0625868601746,29.9007722703358
02230,-135.337792676983,59.5585218601306
51171,-78.570600789981,38.8583924562316
02188,-160.007869364399,67.0108112806515
02270,-163.524020028999,62.1604526221191
28145,-89.0038558841585,34.4904739973952
28141,-88.2393231465226,34.74043375943
28087,-88.443313501445,33.4729092668929
22027,-92.9957332634186,32.8226933555895
22019,-93.3579443682917,30.2292233230201
22001,-92.4119791118281,30.2905333657872
22079,-92.533199625198,31.1986202896131
22127,-92.6367652276746,31.9442491968624
22021,-92.1166058726121,32.092271543743
22029,-91.6400550025769,31.4458359327377
51790,-79.0608271738182,38.1592801704044
72083,-66.9834150142888,18.2370904250285
51183,-77.2617946425136,36.9217519087235
51620,-76.9385172054479,36.6829683264693
51750,-80.5582449778822,37.1229346317983
48251,-97.3663331111479,32.3790138552611
48037,-94.4233181497253,33.4457646344087
48383,-101.523008411219,31.3661921173763
72059,-66.7971292047086,18.0071198535951
48479,-99.3315652897438,27.7610624253427
72113,-66.6072588199828,18.0027266291417
48417,-99.3540670056784,32.7359728457922
72077,-65.9088978081055,18.2235174650924
48415,-100.916407168124,32.7463149759519
41007,-123.716772803478,46.0174671224695
48261,-97.6364611513208,26.9280228750774
48425,-97.7743353953829,32.2222882625638
48359,-102.602873456466,35.4050218746691
41003,-123.429309156834,44.4917594724348
48441,-99.8901220970231,32.3014719989617
42013,-78.3486041580867,40.4809952640278
72054,-66.5602142098189,18.3734438242697
48269,-100.255850057538,33.6164759609396
41027,-121.651105401486,45.5191072855363
48033,-101.431748865895,32.743694132642
42047,-78.6490862634554,41.4252272885321
48471,-95.5722828649528,30.7390459506811
48457,-94.3765939344122,30.7712321593241
48429,-98.8361731573295,32.7358650209226
42057,-78.1126836647553,39.9253436202903
48117,-102.604938204417,34.9660215961045
42087,-77.6170420790129,40.610412880901
48393,-100.813444088968,35.838491673206
48505,-99.1686128075102,27.0007781794722
48465,-101.151715185105,29.892960140577
42119,-77.0622494346399,40.9629663127608
48049,-98.9997941567608,31.774262004268
34021,-74.7016891415838,40.2834047511996
48367,-97.8050966608639,32.7776458523516
72087,-65.9025218892228,18.4578280966329
48201,-95.3923396395148,29.85727816689
34007,-74.9597563404844,39.8035321555434
48387,-95.0503607436188,33.6206818153913
48255,-97.8594018268186,28.9057389738005
48363,-98.3130213808292,32.7531803787473
34031,-74.3003729229117,41.0336971663505
48173,-101.520802216713,31.8694626868419
04019,-111.789945456768,32.0973814886838
04017,-110.321402802282,35.399629221031
42027,-77.8199512151975,40.9193416134864
48419,-94.1450174736645,31.7924089353
48499,-95.3820619258618,32.7864051188464
04012,-113.981338030428,33.7292640160422
35028,-106.30728880749,35.869367116969
23029,-67.6090584545735,44.9694588478258
23009,-68.3682079686997,44.5628867641741
35021,-103.819931701589,35.8579441551263
24029,-76.0958206026149,39.2356038943166
35051,-107.192496821479,33.130465520766
35025,-103.412447483646,32.7921814689636
56023,-110.65597428047,42.2640424331381
35019,-104.790696471501,34.8633258449621
56037,-108.879419506421,41.6595005428946
51710,-76.2456142169097,36.9233417931761
35057,-105.850776337682,34.640467575043
23003,-68.598887514849,46.6588111794374
56041,-110.547594497804,41.2875605357447
56035,-109.914705891427,42.7669066542692
72029,-65.8878890795039,18.3289888376622
35017,-108.382246307653,32.7390140922297
44003,-71.5789503304202,41.6733389522467
35035,-105.741682597846,32.6131555761715
35045,-108.320595522061,36.5084710455987
56007,-106.930610170805,41.69458926781
35041,-103.480175443378,34.0212702675957
42043,-76.7794743959365,40.4154403225212
35009,-103.34691217473,34.5741635280471
42097,-76.7093209235202,40.8519845320309
35055,-105.630966346414,36.5782976897075
24017,-77.013484094084,38.4736812567122
35023,-108.714818784316,31.9141580990595
72095,-65.8952999153302,17.9979836721087
35015,-104.304310816165,32.4714877916119
35011,-104.411999906009,34.3423873362535
24011,-75.8316040674059,38.8717303820039
35006,-107.999714183719,34.9125736472522
35037,-103.549735431071,35.1043562048663
72041,-66.1609279523052,18.1737089116369
35007,-104.646862767339,36.6061184913886
35001,-106.670171254903,35.0513138517229
29141,-92.8859873129933,38.4237420931814
56013,-108.630418121022,43.0405280956509
29071,-91.0749938606091,38.4111443851497
44009,-71.6196592784833,41.3964886876544
29137,-92.0007358987552,39.4954645870841
42107,-76.2159548310201,40.7058005722613
29215,-91.9650546056928,37.3173070103686
22081,-93.3398792374678,32.0931465814951
29095,-94.3460913599377,39.0085021822394
17143,-89.7599927523495,40.7880790309632
41049,-119.584300675424,45.4188272614182
42029,-75.7484541644757,39.9731414402988
72049,-65.3008010021457,18.3233669824131
17005,-89.4355494637587,38.886816591436
53077,-120.738703169125,46.4568459639814
53007,-120.61890518864,47.8691043567515
53035,-122.648996254481,47.6398306498888
53043,-118.418785212971,47.5761941348618
17195,-89.9140923670017,41.7562649779903
72005,-67.1447223408716,18.4802902236251
17099,-88.885950032679,41.3439906375906
72013,-66.6749691360746,18.4336934112782
17043,-88.0856719176678,41.8519490093018
72015,-66.0418552961761,17.9585899157259
72153,-66.8587373211549,18.0799558923945
17091,-87.8617982423765,41.1377047871632
72091,-66.4877274745809,18.4495762285235
55011,-91.754469645463,44.3798321951114
55051,-90.2644527681181,46.3170555188087
55019,-90.6120717586308,44.7347144438659
72031,-65.9687546349898,18.3969533809409
55049,-90.135430295433,43.000479560441
42121,-79.7579457372075,41.4009690988686
42113,-76.5121412656015,41.446159120927
55047,-89.0449467333641,43.8003604108045
55015,-88.2180579935866,44.0816034668322
55061,-87.3072591754324,44.5059909304034
55055,-88.7758720606856,43.020820831633
42079,-75.9890260756806,41.1770098117158
55031,-91.8994025653046,46.4641098028358
55083,-88.2205612203645,44.9985143527711
55063,-91.1152160013679,43.9065308901327
55057,-90.1140179044271,43.9244410765319
55059,-87.6531100667247,42.5785055583476
55093,-92.4224847033686,44.719630510697
42105,-77.8958140727262,41.7449210488306
42101,-75.1339627025135,40.0076380561028
55085,-89.5217123664679,45.7055933901348
55023,-90.9310479029846,43.239462310914
55095,-92.4413947364847,45.461418835306
42081,-77.0645062219268,41.3433818706104
55037,-88.398158126943,45.8484530110105
42007,-80.3492872600431,40.6822629696233
42015,-76.5154526737696,41.7886677293837
42077,-75.5923658845305,40.6127067559365
39069,-84.0682304360629,41.3338851598257
42025,-75.7088216075905,40.9181829145554
42123,-79.2741433750999,41.8145746186088
42075,-76.4577120164042,40.3672317378285
42125,-80.2482443352017,40.1894007445461
42069,-75.6091957355471,41.4367859442442
42091,-75.3672952453558,40.2108298678822
42041,-77.2655476852634,40.1636348454743
42111,-79.028272261974,39.9724398123364
42023,-78.2037774056889,41.4368044126044
42055,-77.7212679559711,39.9274204565899
42067,-77.4021626487475,40.5310649137969
42005,-79.4645390947818,40.8122908107364
39145,-82.9928310412353,38.8039619400657
42071,-76.2477047396748,40.0424385718766
42127,-75.3032577117893,41.6487307419228
42115,-75.8006827994008,41.8213255130398
51193,-76.7999075634161,38.1128217503331
42129,-79.4669624884949,40.3107256351456
42103,-75.0338289818118,41.3319875229919
51660,-78.8735288791221,38.4362022316863
42063,-79.0875499709642,40.6520490722797
42031,-79.4209637121799,41.1923895390778
39103,-81.899709425643,41.1175894040596
42095,-75.3074182925939,40.7542307816031
02090,-146.562798691879,64.8085186893039
02110,-134.234238646423,58.4457105244606
02180,-164.245054950313,64.8351399449521
