med_state_name,med_school_name,med_city,med_est,med_degree,med_code
Michigan,Wayne State University School of Medicine,Detroit,1868,MD,2507
Michigan,Michigan State University College of Human Medicine,"East Lansing (pre-clinical campus), Grand Rapids (pre-clinical and clinical campus), Flint (branch campus)",1964,MD,2512
Michigan,Michigan State University College of Osteopathic Medicine,"East Lansing, Detroit, Clinton Township",1969,DO,2576
Michigan,Oakland University William Beaumont School of Medicine,Rochester,2008,MD,2517
Michigan,Western Michigan University Homer Stryker M.D. School of Medicine,Kalamazoo,2012,MD,2519
Michigan,Central Michigan University College of Medicine,Mount Pleasant,2013,MD,2518
Minnesota,University of Minnesota Medical School,"Minneapolis, Duluth (1st and 2nd-year students)",1888,MD,2604
Minnesota,Mayo Clinic College of Medicine,Rochester,1972,MD,2608
Mississippi,University of Mississippi School of Medicine,Jackson,1903,MD,2701
Mississippi,William Carey University College of Osteopathic Medicine,Hattiesburg,2009,DO,2775
Missouri,University of Missouri-Columbia School of Medicine,Columbia,1845,MD,2803
Missouri,Washington University School of Medicine,St. Louis,1891,MD,2802
Missouri,A. T. Still University Kirksville College of Osteopathic Medicine,Kirksville,1892,DO,2879
Missouri,Saint Louis University School of Medicine,St. Louis,1901,MD,2834
Missouri,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,"Kansas City, Joplin (2017)",1916,DO,2878
Missouri,University of Missouri-Kansas City School of Medicine,Kansas City,1971,MD,2846
Nebraska,University of Nebraska College of Medicine,Omaha,1881,MD,3005
Nebraska,Creighton University School of Medicine,Omaha,1892,MD,3006
Nevada,"University of Nevada, Reno School of Medicine",Reno,1969,MD,3101
Nevada,Touro University Nevada College of Osteopathic Medicine,Henderson,2004,DO,3075
Nevada,Touro University Nevada College of Osteopathic Medicine,Henderson,2004,DO,3175
Nevada,"University of Nevada, Las Vegas School of Medicine",Las Vegas,2014,MD,
New Hampshire,Dartmouth College Geisel School of Medicine,Hanover,1797,MD,3201
New Jersey,Rutgers New Jersey Medical School,Newark,1954,MD,3305
New Jersey,Rutgers Robert Wood Johnson Medical School,Piscataway & New Brunswick,1961,MD,3306
New Jersey,Rowan University School of Osteopathic Medicine,Stratford,1976,DO,3375
New Jersey,Cooper Medical School of Rowan University,Camden,2009,MD,3307
New Jersey,Hackensack Meridian School of Medicine at Seton Hall University,Nutley,2015,MD,
New Mexico,University of New Mexico School of Medicine,Albuquerque,1961,MD,3401
New Mexico,Burrell College of Osteopathic Medicine at New Mexico State University,Las Cruces,2013,DO,3475
New York,Columbia University Roy and Diana Vagelos College of Physicians and Surgeons,Manhattan,1767,MD,3501
New York,State University of New York Upstate Medical University,Syracuse,1834,MD,3515
New York,Albany Medical College,Albany,1838,MD,3503
New York,New York University School of Medicine,Manhattan,1841,MD,3519
New York,"Jacobs School of Medicine and Biomedical Sciences, University at Buffalo",Buffalo,1846,MD,3506
New York,New York Medical College,Valhalla,1858,MD,3509
New York,State University of New York Downstate Medical Center College of Medicine,Brooklyn,1858,MD,3508
New York,Weill Cornell Medical College,Manhattan,1898,MD,3520
New York,University of Rochester School of Medicine and Dentistry,Rochester,1925,MD,3545
New York,Albert Einstein College of Medicine,The Bronx,1955,MD,3546
New York,Icahn School of Medicine at Mount Sinai,Manhattan,1963,MD,3547
New York,Stony Brook University School of Medicine,Stony Brook,1971,MD,3548
New York,New York Institute of Technology College of Osteopathic Medicine,Old Westbury,1977,DO,3575
New York,Touro College of Osteopathic Medicine,Manhattan,2007,DO,3576
New York,Donald and Barbara School of Medicine at Hofstra/Northwell,Hempstead,2008,MD,3550
New York,Touro College of Osteopathic Medicine,Middletown,2014,DO,
New York,CUNY School of Medicine,"Harlem, New York",2016,MD,3549
North Carolina,University of North Carolina School of Medicine,Chapel Hill,1879,MD,3601
North Carolina,Wake Forest School of Medicine,Winston-Salem,1902,MD,3605
North Carolina,Duke University School of Medicine,Durham,1930,MD,3607
North Carolina,The Brody School of Medicine at East Carolina University,Greenville,1977,MD,3608
North Carolina,Campbell University School of Osteopathic Medicine,Buies Creek,2011,DO,3675
North Dakota,University of North Dakota School of Medicine and Health Sciences,Grand Forks,1905,MD,3701
Ohio,University of Cincinnati College of Medicine,Cincinnati,1819,MD,3841
Ohio,Case Western Reserve University School of Medicine,Cleveland,1843,MD,3806
Ohio,The Ohio State University College of Medicine,Columbus,1914,MD,3840
Ohio,University of Toledo College of Medicine,Toledo,1964,MD,3843
Ohio,Boonshoft School of Medicine at Wright State University,Dayton,1973,MD,3845
Ohio,Northeast Ohio Medical University College of Medicine,Rootstown,1973,MD,3844
Ohio,Ohio University Heritage College of Osteopathic Medicine,"Athens, Dublin, & Cleveland (Warrensville Heights)",1975,DO,3875
Ohio,Cleveland Clinic Lerner College of Medicine,Cleveland,2002,MD,3806
Oklahoma,University of Oklahoma College of Medicine,Oklahoma City,1900,MD,3901
Oklahoma,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,Tulsa,1972,DO,3979
Oklahoma,University of Oklahoma School of Community Medicine,Tulsa,1974,MD,3905
Oregon,Oregon Health & Science University School of Medicine,Portland,1887,MD,4002
Oregon,"College of Osteopathic Medicine of the Pacific, Northwest",Lebanon,2011,DO,4075
Pennsylvania,Perelman School of Medicine at the University of Pennsylvania,Philadelphia,1765,MD,4101
Pennsylvania,Sidney Kimmel Medical College at Thomas Jefferson University,Philadelphia,1824,MD,4102
Pennsylvania,Drexel University College of Medicine,Philadelphia,1848,MD,4115
Pennsylvania,University of Pittsburgh School of Medicine,Pittsburgh,1883,MD,4112
Pennsylvania,Philadelphia College of Osteopathic Medicine,Philadelphia,1899,DO,4177
Pennsylvania,Temple University School of Medicine,"Philadelphia, Pittsburgh (branch campus, begins 2013), Bethlehem (branch campus, begins 2011)",1901,MD,4113
Pennsylvania,Pennsylvania State University College of Medicine,Hershey,1963,MD,4114
Pennsylvania,Lake Erie College of Osteopathic Medicine,Erie & Greensburg,1992,DO,4178
Pennsylvania,Geisinger Commonwealth School of Medicine,Scranton,2008,MD,4116
Rhode Island,Alpert Medical School at Brown University,Providence,1811,MD,4301
